Santana do Livramento,Calourada 2019,Ruth Pereira Castro,12/03/2019 - 18/12/2019
Santana do Livramento,Carta de Conjuntura Econômica,CARLOS HERNAN RODAS CESPEDES,01/03/2019 - 01/03/2020
Santana do Livramento,CARTA DE CONJUNTURA ECONÔMICA,CARLOS HERNAN RODAS CESPEDES,01/03/2019 - 01/03/2020
Santana do Livramento,"Conhecimento codificado: normas e noções acadêmicas, ano III",Alessandra Troian,10/05/2018 - 18/12/2019
Santana do Livramento,Drogas e Sistema Penal: grupo de estudos,marcelo mayora alves,15/10/2018 - 23/12/2019
Santana do Livramento,Encontro Estudos Organizacionais nas Fronteiras,Igor Baptista de Oliveira Medeiros,20/02/2019 - 30/05/2019
Santana do Livramento,Grupo de Estudos Ius migrandi e o Direito à cidade,Deisemara Turatti Langoski,03/04/2019 - 05/12/2019
Santana do Livramento,Grupo de Estudos sobre Organizações e Desenvolvimento  GEODes,Debora Nayar Hoff,20/03/2018 - 20/12/2022
Santana do Livramento,"Grupo de Estudos Mulheres, violência e sistema de justiça criminal",Vanessa Dorneles Schinke,13/03/2019 - 11/12/2019
Santana do Livramento,Grupos de Estudos Avançados em Direito - GEAD,Daniela Vanila Nakalski Benetti,01/08/2018 - 15/12/2020
Santana do Livramento,LABORATÓRIO DE LEITURA E PRODUÇÃO TEXTUAL EM RELAÇÕES INTERNACIONAIS,Kamilla Raquel Rizzi,18/03/2019 - 20/12/2019
Santana do Livramento,Leitura e produção textual em Economia,André da Silva Redivo,12/03/2019 - 13/07/2019
Santana do Livramento,Matemática Financeira com a Calculadora HP12c,mauro barcellos sopeña,01/12/2016 - 01/12/2020
Santana do Livramento,Monitoria acadêmica em Prática Jurídica Simulada,marcelo mayora alves,05/08/2019 - 18/12/2019
Santana do Livramento,Monitoria de História Geral,Rafael Balardin,01/04/2019 - 11/12/2019
Santana do Livramento,Monitoria em Contabilidade e Estrutura e Análise das Demonstrações Contabeis,Thadeu José Francisco Ramos,15/05/2019 - 31/12/2019
Santana do Livramento,Monitoria em Estatística,Luc,11/03/2019 - 18/12/2019
Santana do Livramento,Monitoria em Filosofia,Deisemara Turatti Langoski,02/04/2019 - 10/12/2019
Santana do Livramento,Monitoria em Modelagem e análise de decisão,Mygre Lopes da Silva,11/03/2019 - 15/12/2019
Santana do Livramento,Monitoria em Teoria das Relações Internacionais I e II,Nathaly Silva Xavier Schütz,22/03/2019 - 18/12/2019
Santana do Livramento,Oficina Rumo ao sucesso nos estudos,CAREN ROSSI,19/03/2019 - 20/12/2020
Santana do Livramento,Participação Competição de Arbitragem Empresarial  CAEMP,Fernando Pedro Meinero,20/12/2018 - 30/04/2020
Santana do Livramento,Pesquisa em Administração: debatendo conceitos e métodos,Carolina Freddo Fleck,03/10/2017 - 02/10/2021
Santana do Livramento,"Viagem para IV Encontro Regional dos Estudantes do Campo de Públicas da Região Sul, ERECAP  Sul em Matinhos PR  2018",GUILHERME HOWES NETO,14/11/2018 - 19/11/2019
Santana do Livramento,Video-economia em ação,CARLOS HERNAN RODAS CESPEDES,14/03/2019 - 04/07/2019
São Borja,LabPesq - Laboratório de Ensino à Pesquisa em Humanidades,Gerson de Lima Oliveira,11/03/2019 - 18/12/2019
São Borja,Agência Experimental de jornalismo  i4 Plataforma de Notícias,Sara Alves Feitosa,05/03/2018 - 15/12/2019
São Borja,Agência Experimental de Relações: uma articulação da prática profissional com o ensino,Elisa Lübeck Terra,01/04/2019 - 31/01/2020
São Borja,Aula Avulsa,Geder Luis Parzianello,30/07/2018 - 30/07/2022
São Borja,Aula Avulsa,Geder Luis Parzianello,30/07/2018 - 30/07/2022
São Borja,DAS PRÁTICAS DE LEITURA AOS GESTOS DE AUTORIA: RELAÇÕES PÚBLICAS EM PAUTA,Paula Daniele Pavan,16/04/2019 - 15/12/2020
São Borja,Estágio curricular de RP  para a direção do campus São Borja da UNIPAMPA,Hamilton de Lima e Souza,01/09/2018 - 31/12/2019
São Borja,Experimentos criativos em comunicação: a prática do profissional de propaganda,Renata Patricia Correa Coutinho,05/04/2019 - 05/12/2019
São Borja,Gênero em Debate,JAQUELINE CARVALHO QUADRADO,20/03/2019 - 31/12/2019
São Borja,Mazaah! Agência Experimental de Publicidade e Propaganda,Juliana Zanini Salbego,18/03/2019 - 31/01/2020
São Borja,Monitoria em Comunicação e Fronteira 2019,Adriana Ruschel Duval,05/04/2019 - 12/07/2019
São Borja,"Monitoria em Fundamentos da Geografia e Monitoria em Cartografia, Documentos e Patrimônio",Nola Patrícia Gamalho,01/05/2019 - 31/12/2019
São Borja,Monitoria em Jornalismo Infanto-Juvenil 2019/1,Adriana Ruschel Duval,15/03/2019 - 12/07/2019
São Borja,MONITORIA INTERDISCIPLINAR,JAQUELINE CARVALHO QUADRADO,20/03/2019 - 31/12/2019
São Borja,Monitoria Interdisciplinar em História,Edson Romario Monteiro Paniagua,25/03/2019 - 31/12/2019
São Borja,Monitoria para disciplinas de Teoria Geral do Direito I e II,Lisianne Pintos Sabedra Ceolin,01/04/2019 - 01/12/2019
São Borja,Oficina Etnográfica: olhares sobre a fronteira São borja - Santo Tomé,Daniel Etcheverry,19/06/2018 - 19/06/2020
São Borja,Oficinas de metodologia científica e redação acadêmica,Marilice Cortes,03/01/2019 - 31/12/2019
São Borja,Parlez Français - Edição 2019,Larissa Conceição dos Santos,21/03/2019 - 27/06/2019
São Borja,PPGCIC - LAB: ambiente de experimentações em comunicação para e como indústria criativa,Marcela Guimarães e Silva,25/03/2019 - 16/12/2019
São Borja,Projeto  Piloto da LIBRAS para Servidores (TAE e professores),willian da motta brum,08/04/2019 - 10/06/2019
São Borja,RP Inclusiva: cartilhas de relacionamento com os públicos,fernanda sagrilo andres,10/04/2019 - 10/12/2019
São Borja,RP Inclusiva: cartilhas de relacionamento com os públicos,fernanda sagrilo andres,10/04/2019 - 10/12/2019
São Borja,Seminário de Integração Acadêmica em Publicidade e Propaganda 2019,João Antônio Gomes Pereira,01/02/2019 - 30/04/2019
