Campus,Descrição ,Coordenador ,Validade
Caçapava do Sul,Feira de Ciências - Difundindo Ciência e Tecnologia na Região da Campanha - Caçapava do Sul (RS),Aline Lopes Balladares,20/03/2016 - 10/12/2019
Caçapava do Sul,Fomentando uma visão sustentável no ambiente acadêmico: Implantação de uma horta orgânica na Unipampa - Campus Caçapava do Sul,Rafael Matias Feltrin,25/11/2017 - 25/12/2019
Caçapava do Sul,Geo.trilhas: Trilhando a Geologia,Ezequiel Galv,02/04/2019 - 02/04/2023
Caçapava do Sul,Mostra Cultural Farroupilha,Zilamar Teixeira de Carvalho Ferreira,15/03/2019 - 15/03/2022
Caçapava do Sul,Museu Virtual Geológico do Pampa - Fase 2: Tecnologia da informação e da comunicação,cristiane heredia gomes,01/12/2018 - 01/12/2020
Caçapava do Sul,Promoção da Coleta Seletiva Solidária no município de Caçapava do Sul,Rafaela Rios,01/03/2019 - 31/12/2019
Caçapava do Sul,SOB MINHA PELE,Renata Vivian de Miranda,12/03/2018 - 31/12/2019
Dom Pedrito,A Educação como forma de prevenção de enfermidades zoonóticas,Larissa Picada brum,30/03/2018 - 23/12/2019
Dom Pedrito,Aprendendo na prática: Da escola para a universidade,Anelise Afonso Martins,06/05/2019 - 20/12/2020
Dom Pedrito,Aproximando pessoas e cavalos: fase 2,Adriana Pires Neves,01/03/2018 - 31/12/2021
Dom Pedrito,Arborização Urbana: um Exercício de Cidadania e Sustentabilidade Sócio Ambiental,Norton Victor Sampaio,01/03/2016 - 31/12/2021
Dom Pedrito,Aromas do Mundo,Angela Rossi Marcon,20/03/2018 - 20/03/2021
Dom Pedrito,"Assistência Parasitológica para Produtores de Dom Pedrito, Rs  e Orientação na Prevenção de Doenças Parasitárias em Escolas da Região.",Anelise Afonso Martins,20/03/2017 - 20/12/2019
Dom Pedrito,Assistência técnica e atualização em Bovinocultura de Corte para Dom Pedrito e região com foco no pecuarista familiar e na conservação dos recursos naturais.,José Acélio Silveira da Fontoura Júnior,01/04/2013 - 27/03/2022
Dom Pedrito,Assistência técnica e atualização em Ovinocultura no Pampa Gaúcho,Gladis Ferreira Corrêa,01/03/2019 - 31/12/2021
Dom Pedrito,Avifauna na Estância do Pampa,Guilherme Joner,12/03/2018 - 11/03/2021
Dom Pedrito,Biblioteca Viva,Juliane Fonseca Soares,04/04/2018 - 30/06/2019
Dom Pedrito,Ciclo de palestras PET-Agronegócio,José Acélio Silveira da Fontoura Júnior,12/03/2018 - 31/12/2019
Dom Pedrito,Ciências Naturais no cotidiano: ações no ensino básico,Jessie Haigert Sudati,23/11/2017 - 15/12/2019
Dom Pedrito,Clube de Xadrez Escolar e Universitário UNIPAMPA  Dom Pedrito,José Guilherme Franco Gonzaga,07/01/2019 - 07/01/2022
Dom Pedrito,Conversações com o Grupo CoEducar,Ana Carolina de Oliveira Salgueiro de Moura,04/02/2019 - 10/12/2020
Dom Pedrito,Cultivo de espécies aromáticas,Etiane Skrebsky Quadros,15/03/2018 - 15/03/2020
Dom Pedrito,Diagnóstico através de exames laboratoriais em busca de hemoparasitas e avaliação hematológica,Lourdes Caruccio Hirschmann,15/03/2015 - 07/02/2020
Dom Pedrito,"Diagnóstico, desenvolvimento e aplicação de ações de transferência de tecnologia para as propriedades leiteiras do município de Dom Pedrito",Luciane Rumpel Segabinazzi,01/03/2018 - 31/12/2021
Dom Pedrito,Divulgação audiovisual da Unipampa Campus Dom Pedrito,Lourdes Caruccio Hirschmann,05/12/2018 - 05/12/2019
Dom Pedrito,ECOSOL - REDES DE COOPERAÇÃO E SOLIDARIEDADE,José Guilherme Franco Gonzaga,04/02/2019 - 04/02/2022
Dom Pedrito,"ENSINANDO A PESCAR: Assistência técnica a produtores rurais na região da Metade Sul, Campanha e Fronteira Oeste",PAULO RODINEI SOARES LOPES,01/01/2015 - 01/01/2020
Dom Pedrito,Experimentação Participativa com Viticultores da Região de Dom Pedrito - RS,Juan Aguila,02/03/2016 - 03/03/2022
Dom Pedrito,Exposição Didática e Experimentoteca em solos,Daniel Hanke,20/03/2018 - 20/03/2020
Dom Pedrito,Formação Continuada de Professores do Campo da Região da Campanha,Denise da Silva,15/03/2016 - 15/03/2021
Dom Pedrito,FORMAÇÃO EM AGROECOLOGIA E EDUCAÇÃO DO CAMPO NA REGIÃO DA CAMPANHA GAÚCHA,José Guilherme Franco Gonzaga,09/12/2017 - 09/12/2019
Dom Pedrito,II Mostra de Extensão Universitária da Unipampa Dom Pedrito: Aproximando a comunidade,Anelise Afonso Martins,08/08/2019 - 31/10/2019
Dom Pedrito,III SIMPAGRO e III Mostra Científica do Campus Dom Pedrito,Caroline Ferreira Mainardi,12/07/2018 - 31/12/2019
Dom Pedrito,Jornal da Lecampo: aproximando universidade e comunidade.,Jonas Anderson Simões das Neves,17/09/2018 - 20/07/2020
Dom Pedrito,Mostra das profissões  Unipampa/ Dom Pedrito,Franciele Braz de Oliveira Coelho,06/05/2019 - 31/12/2019
Dom Pedrito,Núcleo de Estudos Afro-Brasileiros e Indígenas (NEABI  Dom Pedrito),Jonas Anderson Simões das Neves,17/09/2018 - 17/09/2021
Dom Pedrito,"o Formação continuada em Solos, Agroecologia e Educação Ambiental",Shirley Grazieli da Silva Nascimento,20/03/2018 - 20/03/2020
Dom Pedrito,POPCIÊNCIAS: Popularização da Ciência através de exposições interativas,crisna daniela krause bierhalz,12/03/2019 - 31/12/2019
Dom Pedrito,Produção Integrada de Uva na Campanha Gaúcha,Vagner Brasil Costa,01/04/2018 - 31/03/2021
Dom Pedrito,Projeto Ciência,João Icaro Pafiadache Morelle,02/06/2017 - 02/06/2019
Dom Pedrito,"QUALIDADE FÍSICO-QUÍMICA E MICROBIOLÓGICA DE ÁGUAS SUBTERRÂNEAS E DO RIO SANTA MARIA NO MUNICÍPIO DE DOM PEDRITO, RS  ORIENTAÇÃO AOS PRODUTORES RURAIS",Fernando Zocche,18/10/2018 - 31/03/2020
Dom Pedrito,Recursos Didáticos para Educação em Solos na Campanha Gaúcha,Daniel Hanke,20/03/2018 - 20/03/2020
Dom Pedrito,Resistências e Mediação Comunicativa na Educação do Campo,Marcelo Vaz Pupo,01/10/2016 - 03/03/2020
Dom Pedrito,Roda de leitura criativa,Tisa Echevarria Leite,06/04/2017 - 06/04/2020
Dom Pedrito,Seminário de Ovinocultura do Pampa Gaúcho,Gladis Ferreira Corrêa,01/02/2014 - 31/12/2019
Dom Pedrito,Tertúlias Pedagógicas do Pampa: no horizonte da inovação e da inclusão educacional,FRANCÉLI BRIZOLLA,06/03/2017 - 16/12/2020
Dom Pedrito,Trilha no Campus,Carla Valeria Leonini Crivellaro,05/01/2019 - 05/12/2020
Dom Pedrito,VI Equus do Pampa  Equus Mulher; VIII Tertúlia Temática ao Cavalo,Adriana Pires Neves,04/10/2019 - 05/10/2019
Dom Pedrito,Projeto UNIPAMPA ama Música,Shirley Grazieli da Silva Nascimento,01/05/2018 - 01/05/2021
Itaqui,Ambulatório de Nutrição da UNIPAMPA - Campus Itaqui,Karina Sanches Machado d'Almeida,20/02/2019 - 31/12/2022
Itaqui,Apicultura e Meliponicultura  agricultura familiar e educação ambiental,Luciana Zago Ethur,01/03/2019 - 31/12/2020
Itaqui,"Aprendendo Física Moderna no Ensino Médio nas escolas de Itaqui, RS",Caroline Jaskulski Rupp,01/03/2019 - 01/03/2021
Itaqui,Assessoria Técnica Pedagógica ao Programa de ATES nos Projetos de Assentamentos do Rio Grande do Sul,Vinicius Piccin Dalbianco,01/07/2016 - 30/06/2020
Itaqui,"Caracterização da indicação, comércio e uso de agrotóxicos e orientação de técnicos, comerciantes e produtores em relação às boas práticas com agrotóxicos",Fernando Felisberto da Silva,06/10/2017 - 31/12/2020
Itaqui,Clube de Xadrez Escolar e Universitário UNIPAMPA - Itaqui,ROLANDO LARICO MAMANI,01/02/2019 - 31/01/2021
Itaqui,Conheça a Unipampa,Itamara Martins de Souza,11/03/2019 - 18/12/2019
Itaqui,Conhecendo a UNIPAMPA,Luciano Antonelli Becker,01/08/2019 - 20/12/2019
Itaqui,Cozinhando com história: o lugar dos alimentos tradicionais no prato dos itaquienses,Jonas Anderson Simões das Neves,01/08/2016 - 01/06/2019
Itaqui,DETERMINAÇÃO DO CUSTO HORÁRIO DA COLHEITA MECANIZADA DE ARROZ IRRIGADO NA FRONTEIRA OESTE DO RS,Alexandre Russini,03/03/2019 - 03/03/2022
Itaqui,Dia de feira: (re) conhecimento do ambiente alimentar a partir das feiras da agricultura familiar de Itaqui/RS,Vinicius Piccin Dalbianco,02/05/2018 - 31/12/2019
Itaqui,Diálogos entre o curso de Nutrição e os estudantes do ensino médio de Itaqui-RS,Joice Trindade Silveira,18/03/2019 - 31/12/2021
Itaqui,Diversidade em Pauta,Paulo Roberto Cardoso da Silveira,01/04/2018 - 31/12/2019
Itaqui,Docência em Matemática: atividades extensionistas,KARLA BEATRIZ VIVIAN SILVEIRA,08/03/2019 - 30/12/2019
Itaqui,Ferramentas para formulação de dietas para ruminantes e planejamento forrageiro,Eduardo Bohrer de Azevedo,05/03/2018 - 05/03/2021
Itaqui,GeoMaçambará,Leonard Niero da Silveira,17/07/2017 - 17/07/2020
Itaqui,III Encontro de Nutrição da Fronteira Oeste,CARLA POHL SEHN,15/03/2019 - 30/11/2019
Itaqui,Meninas nas Ciências,Caroline Raquel Bender,01/01/2019 - 01/01/2021
Itaqui,Música e integração - Lar de Idosos São José,Luciana Zago Ethur,10/07/2018 - 10/07/2019
Itaqui,O esporte e o lazer como agentes consolidadores da cidadania,Leonard Niero da Silveira,02/05/2018 - 02/05/2021
Itaqui,Oficinas de elaboração de alimentos livres de glúten e caseína direcionadas aos cuidadores de pessoas com TEA matriculadas na APAE de Itaqui/RS,Paula Ferreira de Araujo Ribeiro,01/04/2018 - 31/12/2019
Itaqui,Os clássicos do Cinema e a violação das Leis da natureza,Elaine Cristina Ferreira Silva Fortes,01/11/2018 - 01/06/2019
Itaqui,PET Agro  Semeando Saúde,Luciana Zago Ethur,15/03/2018 - 31/12/2019
Itaqui,Previsão de safra de arroz irrigado no Rio Grande do Sul,Cleber Maus Alberto,01/04/2017 - 31/03/2020
Itaqui,Projeto Agricultura: Articulando Saberes e Vivencias Junto aos Agricultores Familiares de Itaqui  RS,Paulo Roberto Cardoso da Silveira,15/09/2018 - 31/12/2019
Itaqui,PROMOVENDO O ENSINO DE CIÊNCIAS E EXPERIMENTAÇÃO CIENTÍFICA NA REDE PÚBLICA DO MUNICÍPIO DE ITAQUI/RS,Marina Prigol,15/02/2019 - 14/02/2021
Itaqui,REDE GEODÉSICA,Rogério Rodrigues de Vargas,01/04/2018 - 31/12/2019
Itaqui,Sala de visita - UNIPAMPA,Márcio Luciano dos Santos Campos,19/12/2018 - 18/12/2019
Itaqui,Sarau Contemporâneo: um encontro científico cultural.,SILVANA PETERINI BOEIRA,11/03/2019 - 20/12/2019
Itaqui,Seminários da Física Quântica,Elaine Cristina Ferreira Silva Fortes,01/11/2018 - 30/05/2019
Itaqui,Suíno / Cultura: Esclarecimentos sobre a Cadeia Suinícola para a Fronteira Oeste Gaúcha  Ano II,Bruno Neutzling Fraga,11/03/2019 - 31/12/2019
Itaqui,UNIVERSIDADE E COMUNIDADE: DO ACESSO À PERMANÊNCIA,Vinicius Piccin Dalbianco,15/11/2018 - 31/12/2020
Itaqui,Universidade em Dança: Valorizando as Culturas Regionais,Paulo Roberto Cardoso da Silveira,01/06/2018 - 31/12/2019
Itaqui,UNIVERSIDADE ITINERANTE - Divulgação dos Cursos de Graduação do Campus Itaqui/UNIPAMPA,Luciana Zago Ethur,13/09/2017 - 31/12/2019
Jaguarão,CATALOGAÇÃO E DIGITALIZAÇÃO DE DOCUMENTAÇÃO HISTÓRICA,Tatiane Marques de Oliveira,03/01/2019 - 31/12/2021
Jaguarão,Centro de Línguas  Letras (3ª edição),Giane Rodrigues dos Santos,11/03/2019 - 11/03/2021
Jaguarão,CORAL DO CÂMPUS JAGUARÃO - UNIPAMPA,Sandro Martins Costa Mendes,10/01/2017 - 20/12/2019
Jaguarão,Corredores iluminados: a cultura e a expressão artística nos corredores da UNIPAMPA Campus Jaguarão,Patrícia Schneider Severo,28/09/2018 - 28/09/2022
Jaguarão,"Elas, Mulheres e Memória",Patrícia Schneider Severo,03/04/2018 - 31/12/2019
Jaguarão,"Evento Integrado :  Mostra Acadêmica do Curso de Pedagogia, I Encontro das Licenciaturas à Distância, I Mostra Científica da Pós-Graduação, II Fórum Regional de Metade Sul de EJA e XXIII Encontro Estadual do Fórum de EJA RS",Ana Cristina da Silva Rodrigues,09/02/2019 - 18/05/2019
