Formação Continuada Institucional|Suzana Schwartz|11/04/2019 - 31/12/2020
Síntese de derivados do 1,2,3-propanotriol a partir de reações de halogenação e oxidação  Fase II|Tales Leandro Costa Martins|24/04/2018 - 30/12/2019
SUPLEMENTAÇÃO DE LEVEDURAS COM ÓLEOS VEGETAIS E AZEITE DE OLIVA|Valéria Terra Crexi|05/05/2019 - 05/05/2020
Tecnologias Educacionais no Ensino de Ciências|Vania Elisabeth Barlette|05/11/2018 - 05/12/2020
Tecnologias para Informática na Educação|Sandra Dutra Piovesan|30/03/2018 - 29/03/2022
Tecnologias termoquímicas para uso do capim annoni|Rodolfo Rodrigues|01/04/2019 - 01/04/2022
Uso de Recursos Digitais por Aprendizes de Inglês como Língua Adicional na UNIPAMPA: uma proposta autônoma e colaborativa|Gabriela Bohlmann Duarte|21/08/2017 - 20/12/2019
Utilização de resíduos sólidos como matéria prima na construção civil|Maria Alejandra Liendo|01/04/2017 - 30/05/2019
Utilização e análise das variáveis atmosféricas na equação do balanço da energia cinética da Camada Limite Convectiva na região da campanha/RS.|Carla Kipper|01/04/2018 - 31/03/2021
Variação linguística: descrição, ensino e formação de professores|Taíse Simioni|01/03/2018 - 31/12/2021
? Lugar(es) da Etnomusicologia no Ensino Superior|Luana Zambiazzi dos Santos|15/04/2019 - 31/12/2022
</ul>
